V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	logFC	logCPM	PValue	FDR
GZMB	NM_004131	3.33120080148	3.24049998298	368.905193764	432.3385731	35	33	5916	6260	6.9281597383218	7.54812980944785	3.21871893349847e-71	3.64642438855498e-67
LIF	NM_001257135+NM_002309	0.905940964291	1.67763951306	183.055414426	207.37826161	39	70	12453	12720	7.2960520933859	8.59140507922256	3.33387372667884e-71	3.64642438855498e-67
IL2	NM_000586	2.09616376964	2.84562019087	368.923322674	370.494566605	19	25	5104	4628	7.22623744500546	7.21866981802949	5.35804457903637e-71	3.90690750554735e-67
C17orf96	NM_001130677	0.490771077685	0.618862905803	74.2039090144	75.0620923087	18	22	4154	3794	7.07113868542073	6.92830714527813	1.85138257798783e-66	1.01247484733709e-62
KLF2	NM_016270	185.901379216	135.559754741	0.734559493806	0.348668921339	3482	2461	21	9	-8.18091752653458	7.05733278420389	3.58512357157138e-66	1.56849156256248e-62
CECR1	NM_177405+NM_017424	127.302408277	97.8868998107	1.64507407559	1.38276828111	4455	4232	112	85	-6.02077192274787	7.62180243891557	7.04326258831803e-62	2.56785615199095e-58
IER3	NM_003897	14.9098100389	18.3861946126	692.164917306	863.411443058	210	251	14880	16759	5.55019826619083	8.94518718064521	5.3796940809335e-61	1.68115440029172e-57
FOSL1	NM_005438	0.84449763381	1.63367259879	149.803078626	167.101577989	16	30	4332	4363	7.00297348367294	7.06101666238776	1.59382826839215e-60	4.35812417138478e-57
RASGRP2	NM_001098671+NM_001098670+NM_153819	124.580409258	98.9922680275	1.16376960761	0.989180491891	3232	2383	43	33	-6.76089406915905	6.9837529827043	5.36335405444216e-60	1.30359299934358e-56
MIR155+MIR155HG	NR_001458+NR_030784	1.61265245235	2.79483709464	335.433801161	439.324672865	27	33	3914	5058	6.67342680293886	7.11619789938331	9.54059297794127e-59	2.08700471392465e-55
DPEP2	NM_022355	65.0570420236	69.6928800948	0.228631295826	0.397917803206	1305	1355	7	11	-7.73481962771312	5.90001229979151	2.3403612195638e-58	4.65412742526893e-55
IGF2+IGF2-AS+INS+INS-IGF2	NR_003512+NM_001007139+NM_001127598+NM_000612+NR_028044+NR_028043+NM_001042376+NM_000207+NM_001185098+NM_001185097	0.317355897849	0.492410745749	40.8920936337	48.1409485202	16	28	3645	3393	6.75950877943912	6.75633030994648	6.79394868653353e-58	1.23848022931601e-54
