#samples	GA8877_human_CD4-m1_0_0.bed	GA8879_human_CD4-m1_0_0.bed	GA8878_human_CD4-m1_0_0.bed	GA8880_human_CD4-m1_0_0.bed
#allmappedreads	67201089	66375777	69211973	68546002
#normalizationreads	11358617	11009311	17336907	15653396
#arguments	/Program/Python_script/rpkmforgenes_update.py -a /Project/annotation/hg18/Genes/refGene.txt -i GA8877_human_CD4-m1_0_0.bed GA8879_human_CD4-m1_0_0.bed GA8878_human_CD4-m1_0_0.bed GA8880_human_CD4-m1_0_0.bed -o Human_CD4_stim_refGene_RPKM.txt -readcount -exonnorm	time:Thu May 12 11:57:21 2016	version:19 Oct 2012
#GeneSymbol	transcriptID	GA8877_RPKM	GA8879_RPKM	GA8878_RPKM	GA8880_RPKM	GA8877_CD4TCell	GA8879_CD4TCell	GA8878_Stim1	GA8880_Stim2
PACRG-AS1	NR_028390	0.0	0.0	0.0	0.0	0	0	0	0
LOC92249	NR_015353	24.8619840037	19.8597075491	14.9697251982	10.6473157646	815	631	749	481
FAM138A+FAM138F	NR_026818+NR_026820	0.0779105156894	0.0	0.0	0.0	1	0	0	0
AKR1CL1	NR_027916	0.0827822081097	0.170817482826	0.0542363984725	0.0	2	4	2	0
C17orf76-AS1+FAM211A+SNORD49B	NR_027164+NR_027163+NR_027176+NR_045029+NR_027667+NR_027175+NR_027174+NR_027168+NR_027167+NR_027158+NR_027173+NR_027172+NR_027177+NR_027179+NR_027162+NR_027161+NR_027178+NR_027166+NR_027165+NR_027171+NR_027170+NR_027169+NR_045022+NR_045021+NR_045027+NR_045026+NR_045025+NR_045028+NR_045023+NR_045024+NR_027159+NR_027160+NM_207387+NM_001113567+NR_003043	188.139486838	192.332230463	312.473301077	297.778263153	1790	1681	4971	3804
STARD10	NM_006645	2.52425355358	4.88885564623	4.96144406998	5.84852556083	57	107	171	182
HEATR1+LGALS8+LGALS8-AS1	NM_201545+NM_006499+NM_201543+NM_201544+NM_018072+NR_034040	57.4844527625	48.6915521192	67.2520797158	68.6821063591	4225	3581	8758	8109
LOC339529	NR_033883	0.0	0.0	0.0	0.0	0	0	0	0
SYNGR2	NM_004710	29.415587445	29.6518327393	133.64557755	106.19660399	566	553	3925	2816
LINC00689	NR_024394	0.0438768394342	0.135806922242	0.0431201667896	0.0159192361294	2	6	3	1
SNAI3-AS1	NR_024402+NR_024399	2.2824896663	1.12138525402	0.54594631996	0.762400464321	63	34	23	29
LINC00626	NR_024160	0.0	0.0	0.0	0.0	0	0	0	0
PP7080	NR_024158	19.0927687933	14.018279321	20.749063069	13.0480014189	378	269	627	356
MEG8	NR_024149	0.0	0.0	0.0	0.0	0	0	0	0
IQSEC3+LOC574538	NM_001170738+NM_015232+NR_033859	0.281609077748	0.419526034681	0.305974933576	0.109565885883	19	12	37	10
NUP160	NM_015231	11.906428278	14.7140396325	29.5206258465	29.6336772775	728	872	2755	2497
TEX15	NM_031271	0.0	0.0	0.0399290811342	0.0126352639611	0	0	7	2
PDPK1	NM_031268+NM_002613+NM_001261816	15.5755179234	15.3913540346	16.3744454048	17.7351835701	1250	1194	2007	1996
CDK13	NM_031267+NM_003718	16.363960016	13.5011809103	9.83835149568	11.0844912773	1278	1027	1175	1206
BACE1+BACE1-AS+RNF214	NM_207343+NM_001077239+NM_138973+NM_138972+NM_138971+NM_012104+NM_001207048+NM_001207049+NR_037803	30.3062714254	49.4706322422	25.2320958995	17.4992235856	919	1459	1026	688
SLAMF6	NM_001184715+NM_001184714+NM_001184716+NM_052931	90.4781650185	98.2828929361	38.9863214451	40.8502920548	2820	2970	1854	1754
CPXM1	NM_001184699+NM_019609	0.0	0.0	0.288402048878	0.32264593226	0	0	12	11
IFNA8	NM_002170	0.0	0.0	0.0	0.0	0	0	0	0
IDH2	NM_002168	15.5123384685	20.9370574238	15.994567702	11.145543712	305	399	480	302
SSBP1	NM_003143+NM_001256513+NM_001256512+NM_001256511+NR_046269+NM_001256510	31.0135610311	30.1383930681	186.42695544	142.313916343	363	316	2666	1856
RPA1	NM_002945	7.53750580824	7.42127267086	10.5669979704	7.86602614598	372	355	796	535
AIMP2+EIF2AK1	NM_006303+NM_014413+NM_001134335	33.6549894462	29.3952722661	81.5145700196	68.5970190327	1567	1495	3934	3247
SLITRK5	NM_015567	0.118810901923	0.0408601873561	0.0	0.0	6	2	0	0
ZNF208	NM_007153	1.11404830627	1.11941087227	0.863175146289	0.878684729691	115	112	136	125
CACYBP	NM_001007214+NM_014412	8.83265870774	8.99416847623	31.5922767267	32.6100141652	318	313	1676	1564
LAMP3	NM_014398	1.52836125197	2.06622176996	5.00668028581	26.5210900308	58	76	290	1387
NEK6	NM_001166167+NM_014397+NM_001145001+NM_001166168+NM_001166170+NM_001166171+NM_001166169	3.33893578786	7.17096288099	9.07739170621	10.7979594824	98	204	409	423
ICOSLG	NM_015259	0.978813965315	5.55428502333	3.79429502229	3.45265026337	36	198	213	175
PPM1F	NM_014634	6.33336578884	6.7094949386	8.46572648779	6.2836617627	373	383	761	510
CEP164	NM_001271933+NM_014956	11.3255415613	14.2833144804	15.0965251598	16.073133393	724	885	1473	1416
CTRC	NM_007272	0.293789360372	0.101036926021	0.0641606337881	0.568488494661	3	1	1	8
STK38	NM_007271	103.598322145	108.993555691	12.4361286177	17.1500388154	4208	4291	771	960
JAKMIP2+JAKMIP2-AS1	NR_038902+NM_014790+NM_001270934+NR_073101+NM_001270941	3.53574778669	0.825183024293	1.13266887052	0.107397611551	285	83	137	15
KIAA0196	NM_014846	10.2729639534	10.6207154122	10.6774540065	14.1265466783	486	487	771	921
SUSD5	NM_015551	0.914689644932	0.834821386345	0.357261279329	0.102112119221	52	46	31	8
RFPL1+RFPL1-AS1	NR_002727+NM_021026	0.0688476076831	0.757195591856	0.135320609444	0.0999161596676	4	21	12	8
BARHL2	NM_020063	0.0	0.0	0.0	0.0	0	0	0	0
ETV7	NM_001207039+NM_001207035+NM_001207040+NM_001207038+NM_001207037+NM_001207036+NM_001207041+NM_016135	0.0495435443583	1.70903790997	0.514020201691	4.30553929011	1	28	14	120
AATK+BAIAP2	NM_001144888+NM_006340+NM_017451+NM_017450+NM_001080395+NM_004920	0.486738836924	0.994273779478	0.677990623641	2.28812325631	18	43	40	108
STOX1	NM_001130161+NM_001130160+NM_152709+NM_001130159+NM_001130162	1.63922631011	0.494549164206	2.18847020487	0.426416038404	53	18	108	19
GLB1+TMPPE	NM_001135602+NM_000404+NM_001079811+NM_001039770+NM_001136238	23.188533338	23.025955985	38.7362291305	34.2886180392	792	763	1923	1590
TMEM205	NM_001145416+NM_198536+NM_033408	3.75573671565	6.80364715041	12.5203411406	11.3820752052	41	97	177	145
TMEM88B	NM_001146685	0.0	0.0	0.0	0.0	0	0	0	0
C17orf62+HEXDC+OGFOD3	NM_024648+NM_175902+NR_033265+NM_173620+NM_001193657+NM_001193654+NM_001193655+NM_001193653+NM_001100407+NM_001100408+NR_036518+NR_036517+NM_001033046+NR_036516+NR_036514+NR_036519	64.1359629767	79.032220261	58.3159184669	94.5688625728	1351	1448	2141	2625
GDPD2	NM_001171191+NM_017711+NM_001171193+NM_001171192	0.0	0.0	0.0236492045	0.185349809408	0	0	1	7
